product_image,product_name,product_price,product_discount
//images.samsung.com/is/image/samsung/in-microwave-oven-convection-mc28h5033ck-mc28h5033ck-tl-007-front-black?$684_547_PNG$,"
                          Convection MWO with SlimFry™, 28L, MC28H5033CK 
                        ",₹ 127,21% Off
//images.samsung.com/is/image/samsung/in-microwave-oven-convection-mc32k7056ck-mc32k7056ck-tl-frontblack-106459039?$684_547_PNG$,"
                          Convection MWO with Masala & Sun Dry™, 32L, MC32K7056CK 
                        ",₹ 205,18% Off
//images.samsung.com/is/image/samsung/in-microwave-oven-convection-mc28h5013ak-mc28h5013ak-tl-203475009?$PD_GALLERY_L_SHOP_JPG$,"
                          Convection MWO with Curd Any Time (28L) MC28H5013AK
                        ",₹ 109,26% Off
//images.samsung.com/is/image/samsung/p6pim/in/2110/gallery/in-galaxy-s21-fe-smart-clear-view-cover-ef-zg990cbegin-530688674?$2052_1641_PNG$,Galaxy S21 FE 5G Smart Clear View Cover,₹ 31,29% off
//images.samsung.com/is/image/samsung/p6pim/in/2108/gallery/in-galaxy-z-flip3-5g-silicone-cover-with-ring-ef-pf711tnegin-479009730?$2052_1641_PNG$,Galaxy Z Flip3 5G Silicone Cover with Ring,₹ 30,18% off
//images.samsung.com/is/image/samsung/p6pim/in/2108/gallery/in-galaxy-z-fold3-5g-aramid-cover-ef-xf926sbegin-481639204?$2052_1641_PNG$,Galaxy Z Fold3 5G Aramid Cover,₹ 53,16% off
//images.samsung.com/is/image/samsung/p6pim/in/2108/gallery/in-galaxy-watch4-hybrid-leather-band-et-shr89lregin-481703733?$2052_1641_PNG$,"Galaxy Watch4 Hybrid Leather Band (20mm, M/L)",₹ 39,13% off
//images.samsung.com/is/image/samsung/in-cable-combo-dg930-ep-dg930ibegin-frontblack-119451395?$PD_GALLERY_L_SHOP_JPG$,"
                          Cable (Type-C)
                        ",₹ 5,5% off
//images.samsung.com/is/image/samsung/p6pim/in/ep-ta800nbegin/gallery/in-wall-charger-for-super-fast-charging-25w-ep-ta800nbegin-372451893?$2052_1641_PNG$,25W Travel Adapter,₹ 12,24% off
//images.samsung.com/is/image/samsung/p6pim/in/eo-b3300blegin/gallery/in-samsung-level-u2-eo-b3300blegin-372452016?$684_547_PNG$,Stereo Headset (Wireless) - Level U2,₹ 21,27% off
//images.samsung.com/is/image/samsung/p6pim/in/galaxy-s21/gallery/in-wireless-charger-duo-ep-p4300bwegin-363230362?$2052_1641_PNG$,Wireless Charger Duo,₹ 33,11% off
//images.samsung.com/is/image/samsung/p6pim/in/sm-g990ezaiinu/gallery/in-galaxy-s21-fe-g990-sm-g990ezaiinu-530606583?$PD_GALLERY_L_JPG$,Galaxy S21 FE 5G (128 GB),₹ 549,27% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-g781bzggins/gallery/in-galaxy-s20-fe-5g-g781-sm-g781bzggins-405304988?$PD_GALLERY_L_JPG$,Galaxy S20 FE 5G,₹ 39,47% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-g991bzadinu/gallery/in-galaxy-s21-5g-g991-371114-sm-g991bzadinu-410189271?$PD_GALLERY_L_JPG$,Galaxy S21 5G,₹ 649,23% Off
//images.samsung.com/is/image/samsung/p6pim/in/2108/gallery/in-galaxy-z-fold3-f926-5g-sm-f926bzkdinu-474118709?$PD_GALLERY_L_JPG$,Galaxy Z Fold3 5G,₹ 1499,13% Off
//images.samsung.com/is/image/samsung/p6pim/in/2108/gallery/in-galaxy-z-flip3-f711-5g-sm-f711bzeainu-474119000?$PD_GALLERY_L_JPG$,Galaxy Z Flip3 5G,₹ 849,11% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-m526bzkhinu/gallery/in-galaxy-m52-5g-m526-sm-m526bzkhinu-514958328?$2052_1641_PNG$,Galaxy M52 5G (6GB RAM),₹ 249,29% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-m326bzbiins/gallery/in-galaxy-m32-5g-6gb-ram-sm-m326bzbiins-497607003?$684_547_PNG$,Galaxy M32 5G (6GB RAM),₹ 209,13% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-e225flbdins/gallery/in-galaxy-f-sm-e225flbdins-sm-e---flbhins-470145911?$2052_1641_PNG$,Galaxy F22 (4GB RAM),₹ 129,13% off
//images.samsung.com/is/image/samsung/p6pim/in/sm-m526blbiinu/gallery/in-galaxy-m52-5g-m526-404058-sm-m526blbiinu-514948282?$2052_1641_PNG$,Galaxy M52 5G (8GB RAM),₹ 269,27% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-e426bzbgins/gallery/in-galaxy-f42-5g-6gb-ram-sm-e426bzbgins-514539974?$2052_1641_PNG$,Galaxy F42 5G (6GB RAM),₹ 209,13% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-m127gzkgins/gallery/in-galaxy-m12-m127-sm-m127gzkgins-405433977?$720_576_PNG$,Galaxy M12 (4/64),₹ 104,19% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-f127glbgins/gallery/in-galaxy-f12-4gb-ram-sm-f127glbgins-419015707?$684_547_PNG$,Galaxy F12 (4/64),₹ 104,19% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-m215glbdins/gallery/in-galaxy-m-sm-m215glbdins-sm-m---glbhins-478397541?$684_547_PNG$,Galaxy M21 2021 Edition (4GB RAM),₹ 129,13% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-e225flbhins/gallery/in-galaxy-f22-6gb-ram-sm-e225flbhins-470145794?$720_576_PNG$,Galaxy F22 (6GB RAM),₹ 149,12% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-e426bzahins/gallery/in-galaxy-f42-5g-8gb-ram-sm-e426bzahins-514504593?$2052_1641_PNG$,Galaxy F42 5G (8GB RAM),₹ 229,12% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-m127gzbhins/gallery/in-galaxy-m-sm-m127gzbhins-sm-m---gzbgins-405435076?$720_576_PNG$,Galaxy M12 (6GB RAM),₹ 124,19% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-f127gzgiins/gallery/in-galaxy-f12-4gb-ram-sm-f127gzgiins-419015734?$2052_1641_PNG$,Galaxy F12 (4/128),₹ 114,18% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-m325flbbins/gallery/in-galaxy-m32-4gb-ram-sm-m325flbbins-462257025?$2052_1641_PNG$,Galaxy M32 (4GB RAM),₹ 149,12% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-m325flbcins/gallery/in-galaxy-m32-6gb-ram-sm-m325flbcins-462257076?$2052_1641_PNG$,Galaxy M32 (6GB RAM),₹ 169,11% off
//images.samsung.com/is/image/samsung/p6pim/in/sm-a525fzkgins/gallery/in-galaxy-a-sm-a525fzkgins-sm-a---fzkhins-409774212?$2052_1641_PNG$,Galaxy A52 (6GB RAM),₹ 274,7% Off
//images.samsung.com/is/image/samsung/p6pim/in/sm-a325fzkiins/gallery/in-galaxy-a32-a325-407107-sm-a325fzkiins-530413593?$2052_1641_PNG$,Galaxy A32 (8GB RAM),₹ 234,16% Off
